Aggregation,Zone,Map_3Zone
26,CANO,WECC
26,CASO,WECC
26,SRSG,WECC
26,RMRG,WECC
26,BASN,WECC
26,NWPP,WECC
26,ISNE,EIC
26,NYUP,EIC
26,NYCW,EIC
26,MISS,EIC
26,MISW,EIC
26,MISC,EIC
26,MISE,EIC
26,SRCE,EIC
26,SPPS,EIC
26,SPPN,EIC
26,SPPC,EIC
26,FRCC,EIC
26,SRSE,EIC
26,SRCA,EIC
26,PJMW,EIC
26,PJMC,EIC
26,PJMD,EIC
26,PJME,EIC
26,TRE,TRE
26,TREW,TRE
22,CANO,WECC
22,CASO,WECC
22,SRSG,WECC
22,RMRG,WECC
22,BASN,WECC
22,NWPP,WECC
22,ISNE,EIC
22,NYUP,EIC
22,NYCW,EIC
22,MISS,EIC
22,MISW,EIC
22,MISC,EIC
22,MISE,EIC
22,SRCE,EIC
22,SPP,EIC
22,SOU,EIC
22,SRCA,EIC
22,PJMW,EIC
22,PJMC,EIC
22,PJMD,EIC
22,PJME,EIC
22,TRE,TRE
17,CA,WECC
17,SRSG,WECC
17,WECCC,WECC
17,NWPP,WECC
17,ISNE,EIC
17,NYUP,EIC
17,NYCW,EIC
17,MISS,EIC
17,MISW,EIC
17,MISC,EIC
17,SRCE,EIC
17,SPP,EIC
17,SOU,EIC
17,SRCA,EIC
17,PJM,EIC
17,TRE,TRE
12,CA,WECC
12,WECCE,WECC
12,NWPP,WECC
12,ISNE,EIC
12,NY,EIC
12,MISS,EIC
12,MISW,EIC
12,EASC,EIC
12,SPP,EIC
12,SOU,EIC
12,PJM,EIC
12,TRE,TRE
7,WECC,WECC
7,NE,EIC
7,EICW,EIC
7,SPP,EIC
7,SOU,EIC
7,PJM,EIC
7,TRE,TRE
3,WECC,WECC
3,EIC,EIC
3,TRE,TRE
